ID,Set,Items
A,1.0,"[('ohp', 'heavy')]"
A,5.0,"[('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy'), ('bench', 'heavy')]"
A,9.0,"[('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium')]"
A,10.0,"[('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy'), ('ohp', 'heavy')]"
A,11.0,"[('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium'), ('dead', 'medium')]"
A,16.0,"[('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium'), ('squat', 'medium')]"
A,18.0,"[('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy')]"
A,20.0,"[('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', nan), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy'), ('row', 'heavy')]"
A,22.0,"[('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy'), ('squat', 'heavy')]"
A,23.0,"[('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing'), ('rest', 'standing')]"
