Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,Cluster
-0.0535,0.7685,-0.091,268.048,118.292,-22.305,0
-0.182,0.9276666666666668,-0.172,199.268,0.2682,-15.756,0
-0.225,0.8245,-0.1185,147.196,-165.122,-110.732,0
-0.062,0.873,-0.155,165.608,-44.268,-130.368,0
-0.11,0.8685,-0.2075,167.194,-45.368,-105.244,0
-0.124,0.8733333333333334,-0.229,161.338,-114.512,-8.378,0
-0.206,0.8300000000000001,-0.086,172.436,-81.708,-5.939,0
-0.254,10.615,0.067,429.144,-81.098,-13.11,0
-0.104,0.893,-0.217,154.512,-102.438,-50.854,0
-0.0846666666666666,0.8370000000000001,-0.2076666666666666,192.804,-44.146,-110.122,0
-0.1375,1.314,0.024,208.534,77.562,-44.134,0
-0.1134999999999999,0.9275,-0.06,222.808,-88.046,-112.562,0
-0.1016666666666666,0.7576666666666667,-0.106,309.146,-101.462,-223.534,0
-0.357,0.7855,-0.3325,160.488,-27.926,74.514,0
-0.3893333333333333,0.7983333333333333,-0.284,311.466,11.342,72.926,0
-0.2375,1.039,-0.0255,175.852,99.146,-49.39,0
-0.1625,0.7125,-0.114,412.194,-55.246,-195.974,0
-0.1495,0.925,0.0304999999999999,265.854,-97.194,-146.584,0
-0.263,0.87,-0.152,163.658,-15.608,-26.464,0
-0.176,0.6905,0.011,146.708,-121.096,244.756,0
-0.085,0.8493333333333334,-0.03,186.706,-32.682,34.024,0
-0.2226666666666666,0.842,-0.1646666666666666,276.218,87.562,-20.878,0
-0.1473333333333333,0.7383333333333333,-0.137,463.902,-92.072,-165.852,0
-0.2045,0.8365,-0.1674999999999999,185.978,177.074,-27.256,0
-0.3279999999999999,0.8285,-0.2794999999999999,275.366,6.244,-95.852,0
-0.199,1.002,0.0289999999999999,161.584,-103.414,-59.512,0
-0.1596666666666666,0.742,-0.0753333333333333,268.902,-0.5243999999999998,-31.512,0
-0.207,0.8216666666666667,-0.128,170.366,16.098,-12.256,0
-0.0325,1.114,0.0525,227.074,-83.414,-57.804,0
-0.111,0.882,-0.0533333333333333,193.536,-111.584,-103.416,0
-0.1933333333333333,1.049,-0.0176666666666666,302.806,50.854,-35.256,0
-0.093,0.8835,-0.0115,160.976,-154.148,73.658,0
-0.0573333333333333,0.8963333333333333,-0.021,195.366,-15.122,-20.756,0
-0.333,0.8086666666666668,-0.0959999999999999,220.974,35.854,67.072,0
-0.093,0.8109999999999999,-0.045,259.634,-71.706,-4.939,0
-0.081,0.757,-0.0853333333333333,355.732,65.976,-21.817,0
-0.2065,0.947,-0.268,381.582,-16.744,-188.048,0
-0.287,14.805,0.0395,717.804,299.632,-24.439,0
-0.3665,0.91,-0.2225,424.636,7.878,-121.098,0
-0.1113333333333333,0.634,-0.1123333333333333,539.756,16.0,-32.634,0
-0.102,0.5585,-0.08,438.416,-6.0,-40.0,0
-0.2446666666666666,0.7806666666666667,-0.2043333333333333,372.684,96.952,-22.073,0
-0.296,0.836,-0.2576666666666666,116.952,-60.612,-22.804,0
-0.255,0.7253333333333334,-0.222,505.244,160.486,-60.488,0
-0.1523333333333333,0.5136666666666666,-0.1033333333333333,491.342,13.256,-46.195,0
-0.1895,0.9755,0.005,177.316,-31.222,25.732,0
-0.13,0.7783333333333333,-0.1266666666666666,340.244,-59.146,-223.294,0
-0.241,1.471,0.069,307.926,125.366,-96.828,0
-0.1755,0.7184999999999999,-0.095,262.806,-97.806,-0.5852000000000004,0
-0.1636666666666666,0.6693333333333333,-0.1436666666666666,197.316,-102.928,15.732,0
-0.2714999999999999,0.9675,-0.0645,466.464,20.378,-40.683,0
-0.276,0.7873333333333333,-0.2183333333333333,306.586,-20.002,-75.364,0
-0.3565,1.443,-0.138,391.464,344.024,-146.952,0
-0.3496666666666666,0.8109999999999999,-0.2476666666666666,344.634,220.366,-134.388,0
-0.4115,1.225,-0.283,767.928,358.292,-22.134,0
-0.4895,13.375,-0.249,193.416,108.416,-4.061,0
-0.518,1.228,-0.3145,754.756,230.488,-113.902,0
-0.292,0.7293333333333334,-0.268,242.318,50.366,-9.683,0
-0.405,0.9975,-0.24,407.438,105.734,-37.451,0
-0.248,0.6735,-0.2035,299.024,30.852,-23.183,0
-0.28,0.6575,-0.2955,468.534,126.708,-85.732,0
-0.1773333333333333,0.7600000000000001,-0.0596666666666666,170.974,-93.046,207.682,0
-0.164,0.79,-0.1565,353.416,-60.978,-144.512,0
-0.142,0.6579999999999999,-0.067,205.976,-64.268,41.584,0
-0.1436666666666666,0.793,-0.1033333333333333,206.466,-78.414,-111.464,0
-0.1115,0.9575,-0.0915,193.658,-60.124,-15.0,0
-0.081,1.386,-0.1393333333333333,230.732,-0.4878000000000001,-45.988,0
-0.1005,0.817,-0.0839999999999999,181.222,-0.0975999999999999,-57.074,0
